int 	 binary 
970	0101001111000000
971	1101001111000000
972	0011001111000000
973	1011001111000000
974	0111001111000000
975	1111001111000000
976	0000101111000000
977	1000101111000000
978	0100101111000000
979	1100101111000000
980	0010101111000000
981	1010101111000000
982	0110101111000000
983	1110101111000000
984	0001101111000000
985	1001101111000000
986	0101101111000000
987	1101101111000000
988	0011101111000000
989	1011101111000000
990	0111101111000000
991	1111101111000000
992	0000011111000000
993	1000011111000000
994	0100011111000000
995	1100011111000000
996	0010011111000000
997	1010011111000000
998	0110011111000000
999	1110011111000000
1000	0001011111000000
1001	1001011111000000
1002	0101011111000000
1003	1101011111000000
1004	0011011111000000
1005	1011011111000000
1006	0111011111000000
1007	1111011111000000
1008	0000111111000000
1009	1000111111000000
1010	0100111111000000
1011	1100111111000000
1012	0010111111000000
1013	1010111111000000
1014	0110111111000000
1015	1110111111000000
1016	0001111111000000
1017	1001111111000000
1018	0101111111000000
1019	1101111111000000
1020	0011111111000000
1021	1011111111000000
1022	0111111111000000
1023	1111111111000000
1024	0000000000100000
1025	1000000000100000
1026	0100000000100000
1027	1100000000100000
1028	0010000000100000
1029	1010000000100000
1030	0110000000100000
1031	1110000000100000
1032	0001000000100000
1033	1001000000100000
1034	0101000000100000
1035	1101000000100000
1036	0011000000100000
1037	1011000000100000
1038	0111000000100000
1039	1111000000100000
1040	0000100000100000
1041	1000100000100000
1042	0100100000100000
1043	1100100000100000
1044	0010100000100000
1045	1010100000100000
1046	0110100000100000
1047	1110100000100000
1048	0001100000100000
1049	1001100000100000
1050	0101100000100000
1051	1101100000100000
1052	0011100000100000
1053	1011100000100000
1054	0111100000100000
1055	1111100000100000
1056	0000010000100000
1057	1000010000100000
1058	0100010000100000
1059	1100010000100000
1060	0010010000100000
1061	1010010000100000
1062	0110010000100000
1063	1110010000100000
1064	0001010000100000
1065	1001010000100000
1066	0101010000100000
1067	1101010000100000
1068	0011010000100000
1069	1011010000100000
1070	0111010000100000
1071	1111010000100000
1072	0000110000100000
1073	1000110000100000
1074	0100110000100000
1075	1100110000100000
1076	0010110000100000
1077	1010110000100000
1078	0110110000100000
1079	1110110000100000
1080	0001110000100000
1081	1001110000100000
1082	0101110000100000
1083	1101110000100000
1084	0011110000100000
1085	1011110000100000
1086	0111110000100000
1087	1111110000100000
1088	0000001000100000
1089	1000001000100000
1090	0100001000100000
1091	1100001000100000
1092	0010001000100000
1093	1010001000100000
1094	0110001000100000
1095	1110001000100000
1096	0001001000100000
1097	1001001000100000
1098	0101001000100000
1099	1101001000100000
1100	0011001000100000
1101	1011001000100000
1102	0111001000100000
1103	1111001000100000
1104	0000101000100000
1105	1000101000100000
1106	0100101000100000
1107	1100101000100000
1108	0010101000100000
1109	1010101000100000
1110	0110101000100000
1111	1110101000100000
1112	0001101000100000
1113	1001101000100000
1114	0101101000100000
1115	1101101000100000
1116	0011101000100000
1117	1011101000100000
1118	0111101000100000
1119	1111101000100000
1120	0000011000100000
1121	1000011000100000
1122	0100011000100000
1123	1100011000100000
1124	0010011000100000
1125	1010011000100000
1126	0110011000100000
1127	1110011000100000
1128	0001011000100000
1129	1001011000100000
1130	0101011000100000
1131	1101011000100000
1132	0011011000100000
1133	1011011000100000
1134	0111011000100000
1135	1111011000100000
1136	0000111000100000
1137	1000111000100000
1138	0100111000100000
1139	1100111000100000
1140	0010111000100000
1141	1010111000100000
1142	0110111000100000
1143	1110111000100000
1144	0001111000100000
1145	1001111000100000
1146	0101111000100000
1147	1101111000100000
1148	0011111000100000
1149	1011111000100000
1150	0111111000100000
1151	1111111000100000
1152	0000000100100000
1153	1000000100100000
1154	0100000100100000
1155	1100000100100000
1156	0010000100100000
1157	1010000100100000
1158	0110000100100000
1159	1110000100100000
1160	0001000100100000
1161	1001000100100000
1162	0101000100100000
1163	1101000100100000
1164	0011000100100000
1165	1011000100100000
1166	0111000100100000
1167	1111000100100000
1168	0000100100100000
1169	1000100100100000
1170	0100100100100000
1171	1100100100100000
1172	0010100100100000
1173	1010100100100000
1174	0110100100100000
1175	1110100100100000
1176	0001100100100000
1177	1001100100100000
1178	0101100100100000
1179	1101100100100000
1180	0011100100100000
1181	1011100100100000
1182	0111100100100000
1183	1111100100100000
1184	0000010100100000
1185	1000010100100000
1186	0100010100100000
1187	1100010100100000
1188	0010010100100000
1189	1010010100100000
1190	0110010100100000
1191	1110010100100000
1192	0001010100100000
1193	1001010100100000
1194	0101010100100000
1195	1101010100100000
1196	0011010100100000
1197	1011010100100000
1198	0111010100100000
1199	1111010100100000
1200	0000110100100000
1201	1000110100100000
1202	0100110100100000
1203	1100110100100000
1204	0010110100100000
1205	1010110100100000
1206	0110110100100000
1207	1110110100100000
1208	0001110100100000
1209	1001110100100000
1210	0101110100100000
1211	1101110100100000
1212	0011110100100000
1213	1011110100100000
1214	0111110100100000
1215	1111110100100000
1216	0000001100100000
1217	1000001100100000
1218	0100001100100000
1219	1100001100100000
1220	0010001100100000
1221	1010001100100000
1222	0110001100100000
1223	1110001100100000
1224	0001001100100000
1225	1001001100100000
1226	0101001100100000
1227	1101001100100000
1228	0011001100100000
1229	1011001100100000
1230	0111001100100000
1231	1111001100100000
1232	0000101100100000
1233	1000101100100000
1234	0100101100100000
1235	1100101100100000
1236	0010101100100000
1237	1010101100100000
1238	0110101100100000
1239	1110101100100000
1240	0001101100100000
1241	1001101100100000
1242	0101101100100000
1243	1101101100100000
1244	0011101100100000
1245	1011101100100000
1246	0111101100100000
1247	1111101100100000
1248	0000011100100000
1249	1000011100100000
1250	0100011100100000
1251	1100011100100000
1252	0010011100100000
1253	1010011100100000
1254	0110011100100000
1255	1110011100100000
1256	0001011100100000
1257	1001011100100000
1258	0101011100100000
1259	1101011100100000
1260	0011011100100000
1261	1011011100100000
1262	0111011100100000
1263	1111011100100000
1264	0000111100100000
1265	1000111100100000
1266	0100111100100000
1267	1100111100100000
1268	0010111100100000
1269	1010111100100000
1270	0110111100100000
1271	1110111100100000
1272	0001111100100000
1273	1001111100100000
1274	0101111100100000
1275	1101111100100000
1276	0011111100100000
1277	1011111100100000
1278	0111111100100000
1279	1111111100100000
1280	0000000010100000
1281	1000000010100000
1282	0100000010100000
1283	1100000010100000
1284	0010000010100000
1285	1010000010100000
1286	0110000010100000
1287	1110000010100000
1288	0001000010100000
1289	1001000010100000
1290	0101000010100000
1291	1101000010100000
1292	0011000010100000
1293	1011000010100000
1294	0111000010100000
1295	1111000010100000
1296	0000100010100000
1297	1000100010100000
1298	0100100010100000
1299	1100100010100000
1300	0010100010100000
1301	1010100010100000
1302	0110100010100000
1303	1110100010100000
1304	0001100010100000
1305	1001100010100000
1306	0101100010100000
1307	1101100010100000
1308	0011100010100000
1309	1011100010100000
1310	0111100010100000
1311	1111100010100000
1312	0000010010100000
1313	1000010010100000
1314	0100010010100000
1315	1100010010100000
1316	0010010010100000
1317	1010010010100000
1318	0110010010100000
1319	1110010010100000
1320	0001010010100000
1321	1001010010100000
1322	0101010010100000
1323	1101010010100000
1324	0011010010100000
1325	1011010010100000
1326	0111010010100000
1327	1111010010100000
1328	0000110010100000
1329	1000110010100000
1330	0100110010100000
1331	1100110010100000
1332	0010110010100000
1333	1010110010100000
1334	0110110010100000
1335	1110110010100000
1336	0001110010100000
1337	1001110010100000
1338	0101110010100000
1339	1101110010100000
1340	0011110010100000
1341	1011110010100000
1342	0111110010100000
1343	1111110010100000
1344	0000001010100000
1345	1000001010100000
1346	0100001010100000
1347	1100001010100000
1348	0010001010100000
1349	1010001010100000
1350	0110001010100000
1351	1110001010100000
1352	0001001010100000
1353	1001001010100000
1354	0101001010100000
1355	1101001010100000
1356	0011001010100000
1357	1011001010100000
1358	0111001010100000
1359	1111001010100000
1360	0000101010100000
1361	1000101010100000
1362	0100101010100000
1363	1100101010100000
1364	0010101010100000
1365	1010101010100000
1366	0110101010100000
1367	1110101010100000
1368	0001101010100000
1369	1001101010100000
1370	0101101010100000
1371	1101101010100000
1372	0011101010100000
1373	1011101010100000
1374	0111101010100000
1375	1111101010100000
1376	0000011010100000
1377	1000011010100000
1378	0100011010100000
1379	1100011010100000
1380	0010011010100000
1381	1010011010100000
1382	0110011010100000
1383	1110011010100000
1384	0001011010100000
1385	1001011010100000
1386	0101011010100000
1387	1101011010100000
1388	0011011010100000
1389	1011011010100000
1390	0111011010100000
1391	1111011010100000
1392	0000111010100000
1393	1000111010100000
1394	0100111010100000
1395	1100111010100000
1396	0010111010100000
1397	1010111010100000
1398	0110111010100000
1399	1110111010100000
1400	0001111010100000
1401	1001111010100000
1402	0101111010100000
1403	1101111010100000
1404	0011111010100000
1405	1011111010100000
1406	0111111010100000
1407	1111111010100000
1408	0000000110100000
1409	1000000110100000
1410	0100000110100000
1411	1100000110100000
1412	0010000110100000
1413	1010000110100000
1414	0110000110100000
1415	1110000110100000
1416	0001000110100000
1417	1001000110100000
1418	0101000110100000
1419	1101000110100000
1420	0011000110100000
1421	1011000110100000
1422	0111000110100000
1423	1111000110100000
1424	0000100110100000
1425	1000100110100000
1426	0100100110100000
1427	1100100110100000
1428	0010100110100000
1429	1010100110100000
1430	0110100110100000
1431	1110100110100000
1432	0001100110100000
1433	1001100110100000
1434	0101100110100000
1435	1101100110100000
1436	0011100110100000
1437	1011100110100000
1438	0111100110100000
1439	1111100110100000
1440	0000010110100000
1441	1000010110100000
1442	0100010110100000
1443	1100010110100000
1444	0010010110100000
1445	1010010110100000
1446	0110010110100000
1447	1110010110100000
1448	0001010110100000
1449	1001010110100000
1450	0101010110100000
1451	1101010110100000
1452	0011010110100000
1453	1011010110100000
1454	0111010110100000
1455	1111010110100000
1456	0000110110100000
1457	1000110110100000
1458	0100110110100000
1459	1100110110100000
1460	0010110110100000
1461	1010110110100000
1462	0110110110100000
1463	1110110110100000
1464	0001110110100000
1465	1001110110100000
1466	0101110110100000
1467	1101110110100000
1468	0011110110100000
1469	1011110110100000
1470	0111110110100000
1471	1111110110100000
1472	0000001110100000
1473	1000001110100000
1474	0100001110100000
1475	1100001110100000
1476	0010001110100000
1477	1010001110100000
1478	0110001110100000
1479	1110001110100000
1480	0001001110100000
1481	1001001110100000
1482	0101001110100000
1483	1101001110100000
1484	0011001110100000
1485	1011001110100000
1486	0111001110100000
1487	1111001110100000
1488	0000101110100000
1489	1000101110100000
1490	0100101110100000
1491	1100101110100000
1492	0010101110100000
1493	1010101110100000
1494	0110101110100000
1495	1110101110100000
